U,I
10,0.000 
10.5,0.000 
11,0.001 
11.5,0.007 
12,0.023 
12.5,0.049 
13,0.084 
13.5,0.119 
14,0.154 
14.5,0.185 
15,0.213 
15.5,0.240 
16,0.264 
16.5,0.285 
17,0.302 
17.5,0.316 
18,0.326 
18.5,0.334 
19,0.337 
19.5,0.337 
20,0.333 
20.5,0.327 
21,0.319 
21.5,0.304 
22,0.294 
22.5,0.272 
23,0.249 
23.5,0.228 
24,0.211 
24.5,0.210 
25,0.237 
25.5,0.298 
26,0.377 
26.5,0.470 
27,0.559 
27.5,0.646 
28,0.728 
28.5,0.800 
29,0.861 
29.5,0.908 
30,0.937 
30.5,0.950 
31,0.939 
31.5,0.910 
32,0.854 
32.5,0.782 
33,0.689 
33.5,0.591 
34,0.489 
34.5,0.391 
35,0.306 
35.5,0.264 
36,0.310 
36.5,0.463 
37,0.668 
37.5,0.902 
38,1.145 
38.5,1.414 
39,1.642 
39.5,1.847 
40,2.017 
40.5,2.161 
41,2.250 
41.5,2.290 
42,2.279 
42.5,2.240 
43,2.105 
43.5,1.909 
44,1.664 
44.5,1.388 
45,1.095 
45.5,0.814 
46,0.560 
46.5,0.382 
47,0.374 
47.5,0.560 
48,0.880 
48.5,1.287 
49,1.728 
49.5,2.182 
50,2.602 
50.5,2.985 
51,3.315 
51.5,3.598 
52,3.809 
52.5,3.941 
53,3.993 
53.5,3.967 
54,3.847 
54.5,3.658 
55,3.348 
55.5,2.972 
56,2.535 
56.5,2.064 
57,1.586 
57.5,1.149 
58,0.795 
58.5,0.668 
59,0.826 
59.5,1.170 
60,1.643 
60.5,2.181 
61,2.762 
61.5,3.326 
62,3.849 
62.5,4.320 
63,4.728 
63.5,5.059 
64,5.308 
64.5,5.470 
65,5.537 
65.5,5.499 
66,5.366 
66.5,5.111 
67,4.759 
67.5,4.284 
68,3.757 
68.5,3.181 
69,2.593 
69.5,2.036 
70,1.608 
70.5,1.446 
71,1.562 
71.5,1.872 
72,2.328 
72.5,2.870 
73,3.454 
73.5,4.046 
74,4.637 
74.5,5.181 
75,5.677 
75.5,6.102 
76,6.500 
76.5,6.784 
77,6.967 
77.5,7.029 
78,6.977 
78.5,6.816 
79,6.518 
79.5,6.117 
80,5.611 
